CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
CB,30/03/20,1171,522,50,37,35
CM,30/03/20,6424,3225,344,708,296
CL,30/03/20,6211,2601,325,516,1028
CT,30/03/20,18773,12974,1652,1672,4966
CE,30/03/20,34,3,3,1,0
VC,30/03/20,5508,2189,356,339,200
EX,30/03/20,1628,371,51,133,91
GA,30/03/20,4039,1250,149,84,187
MD,30/03/20,27509,15140,1514,3603,9330
ME,30/03/20,54,27,3,1,0
MC,30/03/20,974,283,59,34,20
NC,30/03/20,2305,1035,99,113,192
PV,30/03/20,6320,3594,307,325,1796
RI,30/03/20,1810,575,51,85,496
,,94417,49243,5607,8189,19259
AN,,,,,,
AR,,,,,,
AS,,,,,,
IB,,,,,,
CN,,,,,,
CB,,,,,,
CM,,,,,,
CL,,,,,,
CT,,,,,,
CE,,,,,,
VC,,,,,,
EX,,,,,,
GA,,,,,,
MD,,,,,,
ME,,,,,,
MC,,,,,,
NC,,,,,,
PV,,,,,,
RI,,,,,,
,,,,,,
AN,,,,,,
AR,,,,,,
AS,,,,,,
IB,,,,,,
CN,,,,,,
CB,,,,,,
CM,,,,,,
CL,,,,,,
CT,,,,,,
CE,,,,,,
VC,,,,,,
EX,,,,,,
GA,,,,,,
MD,,,,,,
ME,,,,,,
MC,,,,,,
NC,,,,,,
PV,,,,,,
RI,,,,,,
,,,,,,
AN,,,,,,
AR,,,,,,
AS,,,,,,
IB,,,,,,
CN,,,,,,
CB,,,,,,
CM,,,,,,
CL,,,,,,
CT,,,,,,
CE,,,,,,
VC,,,,,,
EX,,,,,,
GA,,,,,,
MD,,,,,,
ME,,,,,,
MC,,,,,,
NC,,,,,,
PV,,,,,,
RI,,,,,,
,,,,,,
AN,,,,,,
AR,,,,,,
AS,,,,,,
IB,,,,,,
CN,,,,,,
CB,,,,,,
CM,,,,,,
CL,,,,,,
CT,,,,,,
CE,,,,,,
VC,,,,,,
EX,,,,,,
GA,,,,,,
MD,,,,,,
ME,,,,,,
MC,,,,,,
NC,,,,,,
PV,,,,,,
RI,,,,,,
,,,,,,
AN,,,,,,
AR,,,,,,
AS,,,,,,
IB,,,,,,
CN,,,,,,
CB,,,,,,
CM,,,,,,
CL,,,,,,
CT,,,,,,
CE,,,,,,
VC,,,,,,
EX,,,,,,
GA,,,,,,
MD,,,,,,
ME,,,,,,
MC,,,,,,
NC,,,,,,
PV,,,,,,
RI,,,,,,
,,,,,,
AN,,,,,,
AR,,,,,,
AS,,,,,,
IB,,,,,,
CN,,,,,,
CB,,,,,,
CM,,,,,,
CL,,,,,,
CT,,,,,,
CE,,,,,,
VC,,,,,,
EX,,,,,,
GA,,,,,,
MD,,,,,,
ME,,,,,,
MC,,,,,,
NC,,,,,,
PV,,,,,,
RI,,,,,,
